,Order,Seasonal Order,MAPE,AIC,BIC
179,"(3, 1, 4)","(2, 0, 2, 12)",0.053985478623784354,697.14,716.0
180,"(4, 1, 0)","(0, 0, 0, 12)",0.08818552374076867,1193.25,1204.0
181,"(4, 1, 0)","(0, 0, 1, 12)",0.08456001378222637,1015.25,1027.0
182,"(4, 1, 0)","(0, 0, 2, 12)",0.08405042914488871,784.72,797.0
183,"(4, 1, 0)","(1, 0, 0, 12)",0.0658377852763353,951.44,963.0
184,"(4, 1, 0)","(1, 0, 1, 12)",0.05947553798635873,951.71,965.0
185,"(4, 1, 0)","(1, 0, 2, 12)",0.04679499120966486,772.6,786.0
186,"(4, 1, 0)","(2, 0, 0, 12)",0.04895834378773327,716.13,728.0
187,"(4, 1, 0)","(2, 0, 1, 12)",0.05196016538599466,717.92,731.0
188,"(4, 1, 0)","(2, 0, 2, 12)",0.053276312527962964,718.24,733.0
189,"(4, 1, 1)","(0, 0, 0, 12)",0.08153306570522247,1181.97,1195.0
190,"(4, 1, 1)","(0, 0, 1, 12)",0.07931096815554295,991.15,1005.0
191,"(4, 1, 1)","(0, 0, 2, 12)",0.07684269232360207,761.45,775.0
192,"(4, 1, 1)","(1, 0, 0, 12)",0.07537680044231422,949.17,963.0
193,"(4, 1, 1)","(1, 0, 1, 12)",0.05390328619728819,942.42,958.0
194,"(4, 1, 1)","(1, 0, 2, 12)",0.06411528263955638,751.01,766.0
195,"(4, 1, 1)","(2, 0, 0, 12)",0.054544225445350925,723.98,737.0
196,"(4, 1, 1)","(2, 0, 1, 12)",0.06662245593675611,717.46,732.0
197,"(4, 1, 1)","(2, 0, 2, 12)",0.061301606280622305,722.45,739.0
198,"(4, 1, 2)","(0, 0, 0, 12)",0.07318387035583855,1181.08,1196.0
199,"(4, 1, 2)","(0, 0, 1, 12)",0.0664706042138615,967.98,983.0
200,"(4, 1, 2)","(0, 0, 2, 12)",0.08516961131261314,748.22,763.0
201,"(4, 1, 2)","(1, 0, 0, 12)",0.06899133885021932,947.79,963.0
